dataset,dimension,degradation_level,repetition,miner,input_file,model_name,events_before,events_after,dropped_events,cases_before,cases_after,activities_before,activities_after,fitness,precision,generalization,simplicity,average_score,places,transitions,visible_transitions,hidden_transitions,unique_visible_transition_labels,duplicate_visible_transition_labels,arcs,pnml_path,visualization_path,pnml_saved,visualization_saved,visualization_error,pnml_error,status,error
bpi2019_1000,completeness,10,2,alpha,data\degraded\completeness\completeness_10_r2.csv,bpi2019_1000_completeness_10_r2_alpha,6089,6089,0,999,999,29,29,,0.5426710585416978,0.6842856449722188,0.3575757575757575,0.4580728538988553,30,29,29,0,29,0,112,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r2_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r2_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,10,2,heuristics,data\degraded\completeness\completeness_10_r2.csv,bpi2019_1000_completeness_10_r2_heuristics,6089,6089,0,999,999,29,29,,0.7300215982721383,0.5263119658201751,0.4816625916870415,0.6455191061214931,70,127,29,98,29,0,303,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r2_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r2_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,10,2,inductive,data\degraded\completeness\completeness_10_r2.csv,bpi2019_1000_completeness_10_r2_inductive,6089,6089,0,999,999,29,29,,0.3838131964781041,0.7416126373799174,0.6116504854368933,0.6842690798237288,49,77,29,48,29,0,166,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r2_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r2_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,10,3,alpha,data\degraded\completeness\completeness_10_r3.csv,bpi2019_1000_completeness_10_r3_alpha,6089,6089,0,999,999,29,29,,0.3578056135467409,0.699823673510775,0.489795918367347,0.4670797481670629,19,29,29,0,29,0,73,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r3_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r3_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,10,3,heuristics,data\degraded\completeness\completeness_10_r3.csv,bpi2019_1000_completeness_10_r3_heuristics,6089,6089,0,999,999,29,29,,0.7687832699619772,0.524010405727561,0.4810810810810811,0.6709826529035579,62,116,29,87,29,0,274,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r3_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r3_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,10,3,inductive,data\degraded\completeness\completeness_10_r3.csv,bpi2019_1000_completeness_10_r3_inductive,6089,6089,0,999,999,29,29,,0.3251384620726774,0.7818018463494723,0.6134453781512605,0.6800964216433526,58,88,29,59,29,0,192,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r3_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r3_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,10,4,alpha,data\degraded\completeness\completeness_10_r4.csv,bpi2019_1000_completeness_10_r4_alpha,6088,6088,0,999,999,30,30,,0.4897426775761888,0.6838730581420607,0.4757281553398058,0.4798225539324768,19,30,30,0,30,0,76,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r4_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r4_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,10,4,heuristics,data\degraded\completeness\completeness_10_r4.csv,bpi2019_1000_completeness_10_r4_heuristics,6088,6088,0,999,999,30,30,,0.7575549712282306,0.5125124576058109,0.4791666666666667,0.6524822314261381,63,121,30,91,30,0,284,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r4_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r4_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,10,4,inductive,data\degraded\completeness\completeness_10_r4.csv,bpi2019_1000_completeness_10_r4_inductive,6088,6088,0,999,999,30,30,,0.387603191257696,0.736687703447271,0.6170212765957447,0.685328042825178,57,88,30,58,30,0,190,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r4_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r4_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,10,5,alpha,data\degraded\completeness\completeness_10_r5.csv,bpi2019_1000_completeness_10_r5_alpha,6089,6089,0,999,999,29,29,,0.5480757630594764,0.7008888750739138,0.5294117647058824,0.5216892151571616,16,29,29,0,29,0,65,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r5_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r5_alpha.png,True,True,,,ok,
